Provincia,Trimestre,Año,Entre 6 Mbps y 10 Mbps,Entre 10 Mbps y 20 Mbps,Entre 20 Mbps y 30 Mbps,Más de 30 Mbps,Total,Porcent_Altas_vel
Entre Ríos,4,2014,18318,3584,1000,66,141729,16.20557542916411
Neuquén,4,2014,126000,3621,2000,66,217100,60.65730078304929
Tierra Del Fuego,4,2018,6323,9894,24000,67,103203,39.03374901892387
Misiones,1,2016,19195,13363,779000,68,1829189,44.37081132676831
Salta,4,2016,20787,8611,239000,70,922131,29.113867769329953
Mendoza,1,2018,501000,266000,19000,72,1006121,78.12897255896657
Mendoza,2,2018,515000,266000,17000,72,1018114,78.38729258216664
Salta,1,2017,21554,9386,267000,74,952797,31.277806290322076
Río Negro,4,2015,201000,4024,5000,75,306916,68.45488667909135
Salta,2,2017,23185,11333,1068,76,701957,5.080368170699915
Neuquén,1,2015,170000,4067,2000,76,261402,67.3839526859014
La Pampa,4,2017,1227,792000,391000,81,1572593,75.30925039091487
Río Negro,1,2016,203000,4246,77000,81,381641,74.50116732740979
Mendoza,4,2017,438000,278000,29000,81,950383,78.3979721859503
Salta,4,2017,32842,18968,3559,84,769012,7.21094079156112
Río Negro,2,2016,194000,4877,520000,86,818417,87.84800413481148
Salta,1,2018,33088,30771,5145,88,249885,27.64951877863817
Misiones,3,2016,23394,17043,1559,91,97998,42.9467948325476
Misiones,2,2016,21385,14820,1073,96,96832,38.596744877726366
La Pampa,1,2018,1616,1076,614000,98,940516,65.57995823569189
Corrientes,1,2015,15554,4424,235000,98,352213,72.42094982297644
Río Negro,3,2016,207000,5953,790000,99,1100773,91.12251118077933
Neuquén,2,2015,214000,5168,2000,110,308108,71.81832344502577
Santa Cruz,2,2020,4166,6541,546000,119,1142764,48.72624618906441
Santa Cruz,1,2020,4993,5169,529000,119,644728,83.6447308012061
Entre Ríos,1,2015,28113,6926,274000,119,440144,70.24019411828856
Santa Cruz,3,2020,4014,6730,629000,120,1565752,40.86624190804163
Río Negro,4,2016,248000,6317,1174,122,1349533,18.940848426826168
Corrientes,2,2015,17184,5039,379000,126,495906,80.9324751061693
Misiones,4,2016,23433,18371,2215,126,97392,45.3271315919172
San Juan,4,2019,1594,1292,40000,127,153885,27.951392273450953
San Juan,1,2020,1594,1292,40000,127,349579,12.304228800929117
San Juan,2,2020,917000,4908,40000,127,1267578,75.89552674470525
San Juan,3,2019,2245,1267,41000,128,310734,14.365985054741353
San Juan,3,2020,711000,6529,41000,128,1070333,70.88046430409976
Mendoza,3,2018,2476,4727,27000,129,255154,13.455403403434788
Mendoza,4,2018,2494,4726,19000,132,245265,10.744296984893891
Chaco,1,2015,15883,5346,489000,135,595842,85.65425062348744
Entre Ríos,2,2015,32293,7867,354000,136,523189,75.36396980823373
Formosa,2,2017,4795,4583,749000,139,778209,97.46957436883922
Mendoza,1,2019,2837,5702,111000,140,346848,34.504739828397454
Corrientes,3,2015,18168,6111,453000,146,570473,83.68932447284972
Chaco,2,2015,17675,6337,788000,149,1158770,70.08819696747413
Corrientes,4,2015,17877,7569,456000,150,569948,84.49823492669508
Entre Ríos,3,2015,34788,9924,384000,153,556103,77.11970624146966
Neuquén,3,2015,210000,6599,2000,155,307655,71.10367132014757
Chaco,3,2015,19016,7498,979000,157,1303155,77.17201714301062
Chaco,4,2015,18608,10092,1136,159,280359,10.698782632267914
Entre Ríos,4,2015,33989,13668,399000,163,572792,78.00737440467046
Chubut,3,2018,6162,531000,623000,164,1322373,87.74574193514235
Chubut,4,2018,6215,531000,623000,165,1297502,89.43184673318423
Chubut,1,2019,6571,787000,74000,165,1008751,86.02083170177775
